"vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
1,47,283.427659574468,48.282833848101,282.5,279.51282051282,27.27984,206.9,507.5,300.6,2.00776519938725,7.77984286184855,7.04277514874751
2,47,301.834042553191,38.0652659006227,303.2,299.423076923077,37.21326,238.6,430.9,192.3,0.831054257734403,1.29583052345197,5.55238968695942
3,47,271.859574468085,36.0976252354788,270.1,269.835897435897,34.39632,211,392.8,181.8,0.740846989425043,0.993964253179524,5.26537979806729
4,47,400.231914893617,28.3762155945937,394.6,399.341025641026,34.24806,351.3,454.9,103.6,0.256860206857989,-1.16538128707969,4.13909644644783
5,47,318.989361702128,29.5499299936091,316.7,318.261538461538,26.39028,240,399,159,0.200686080205346,0.652089730275853,4.31030028728117
6,47,257.021276595745,25.3240042181173,254.8,255.571794871795,22.68378,203.9,351.3,147.4,0.925225321755729,2.30305197940949,3.69388565996833
7,47,268.991489361702,29.5508907376031,267.1,266.241025641026,28.3176599999999,222.1,373.2,151.1,1.05535852608089,1.69637560620217,4.31044042619568
8,47,332.291489361702,25.5064427477966,335.2,331.369230769231,20.45988,281.6,441.1,159.5,1.31003771447671,5.04547223006697,3.72049705454888
9,47,268.759574468085,33.6200164212157,266.1,265.433333333333,29.80026,217.1,375.3,158.2,0.943185044620023,0.821999968923575,4.9039834094397
10,47,323.682978723404,41.4037979729697,312.6,320.489743589744,35.5824,246.2,436.3,190.1,0.743171390940131,0.18795230987554,6.03936463930778
11,47,222.870212765957,24.8728760499711,224.3,220.589743589744,24.4629,188.4,295.8,107.4,0.70276227669146,0.276709645201102,3.62808185355722
12,47,240.614893617021,21.2147505977143,240.3,238.961538461538,20.16336,205.7,306.3,100.6,0.821653806517645,0.758148214294764,3.09448941556555
13,47,348.710638297872,36.4071256405914,342.1,346.625641025641,41.9575799999999,287.7,436.9,149.2,0.46897899947305,-0.571682220127713,5.31052507202764
14,47,268.029787234043,22.1792001550769,265.1,267.235897435897,21.4977,225.9,315.6,89.7,0.341824864654984,-0.604451907851293,3.2351688420504
15,47,279.706382978723,21.2788873141525,277.2,279.264102564103,21.79422,231.1,348.5,117.4,0.466048085058273,0.865076926855403,3.10384471716351
16,47,228.793617021277,21.4731926329118,227.7,227.697435897436,24.16638,191.3,301.1,109.8,0.713859650481453,0.866090087985103,3.13218706083234
