"","","result1","result2"
"1","Dependent Var.:","???w?i?w??","???w?i?w??"
"2"," "," "," "
"3","Constant","-0.0016 (0.1372)","  "
"4","???w?Z???t???l?????萶?k??","0.0276*** (0.0060)","-0.0092. (0.0052)"
"5","?H?????","0.9378** (0.3404)","0.0058 (0.0643)"
"6","log(???l??)","-0.0054 (0.0134)","0.0517 (0.0893)"
"7","Fixed-Effects:","------------------","-----------------"
"8","?N?x","No","Yes"
"9","?s???{??","No","Yes"
"10","_______________","__________________","_________________"
"11","S.E.: Clustered","by: ?s???{??","by: ?s???{??"
"12","Observations","564","564"
"13","Adj. R2","0.48083","0.97653"
