番号,都道府県名,クラブ数,登録児童数
1,北海道,640,27721
2,青森県,205,9979
3,岩手県,290,11761
4,宮城県,271,13679
5,秋田県,193,9151
6,山形県,308,13666
7,福島県,316,14805
8,茨城県,775,35562
9,栃木県,461,17907
10,群馬県,323,15161
11,埼玉県,1129,49923
12,千葉県,821,35531
13,東京都,1663,94905
14,神奈川県,426,19955
15,新潟県,338,14557
16,富山県,160,6363
17,石川県,226,8884
18,福井県,247,10308
19,山梨県,256,11265
20,長野県,328,19672
21,岐阜県,311,13928
22,静岡県,426,18216
23,愛知県,733,37701
24,三重県,377,14203
25,滋賀県,265,12916
26,京都府,262,12963
27,大阪府,649,34585
28,兵庫県,520,23625
29,奈良県,203,11198
30,和歌山県,129,5317
31,鳥取県,164,7198
32,島根県,218,8155
33,岡山県,218,7812
34,広島県,269,10575
35,山口県,290,12940
36,徳島県,168,7360
37,香川県,156,6020
38,愛媛県,200,8213
39,高知県,78,2909
40,福岡県,459,27459
41,佐賀県,248,10302
42,長崎県,205,8527
43,熊本県,294,12065
44,大分県,223,8886
45,宮崎県,198,7311
46,鹿児島県,345,12841
47,沖縄県,322,13173
