調査年 コード,調査年,地域 コード,地域,#E09211_小学校長期欠席児童比率（年度間30日以上）（児童千人当たり）【‐】,#L02418_教育費割合（二人以上の世帯）【％】
2022100000,2022年度,1000,北海道,***,3.4
2022100000,2022年度,2000,青森県,***,2.2
2022100000,2022年度,3000,岩手県,***,2.7
2022100000,2022年度,4000,宮城県,***,2
2022100000,2022年度,5000,秋田県,***,3.1
2022100000,2022年度,6000,山形県,***,2.8
2022100000,2022年度,7000,福島県,***,3.7
2022100000,2022年度,8000,茨城県,***,3.1
2022100000,2022年度,9000,栃木県,***,5
2022100000,2022年度,10000,群馬県,***,3.4
2022100000,2022年度,11000,埼玉県,***,8.6
2022100000,2022年度,12000,千葉県,***,3.6
2022100000,2022年度,13000,東京都,***,6
2022100000,2022年度,14000,神奈川県,***,7
2022100000,2022年度,15000,新潟県,***,3.4
2022100000,2022年度,16000,富山県,***,3
2022100000,2022年度,17000,石川県,***,3.8
2022100000,2022年度,18000,福井県,***,2.8
2022100000,2022年度,19000,山梨県,***,2.2
2022100000,2022年度,20000,長野県,***,2.5
2022100000,2022年度,21000,岐阜県,***,5
2022100000,2022年度,22000,静岡県,***,4.3
2022100000,2022年度,23000,愛知県,***,3.8
2022100000,2022年度,24000,三重県,***,2.8
2022100000,2022年度,25000,滋賀県,***,6.2
2022100000,2022年度,26000,京都府,***,4
2022100000,2022年度,27000,大阪府,***,2.6
2022100000,2022年度,28000,兵庫県,***,3.9
2022100000,2022年度,29000,奈良県,***,3.4
2022100000,2022年度,30000,和歌山県,***,4.5
2022100000,2022年度,31000,鳥取県,***,2.5
2022100000,2022年度,32000,島根県,***,2.1
2022100000,2022年度,33000,岡山県,***,4.2
2022100000,2022年度,34000,広島県,***,4.4
2022100000,2022年度,35000,山口県,***,2.9
2022100000,2022年度,36000,徳島県,***,3.4
2022100000,2022年度,37000,香川県,***,2.4
2022100000,2022年度,38000,愛媛県,***,2.8
2022100000,2022年度,39000,高知県,***,3.3
2022100000,2022年度,40000,福岡県,***,4
2022100000,2022年度,41000,佐賀県,***,3.1
2022100000,2022年度,42000,長崎県,***,3.2
2022100000,2022年度,43000,熊本県,***,3.6
2022100000,2022年度,44000,大分県,***,3.5
2022100000,2022年度,45000,宮崎県,***,2.8
2022100000,2022年度,46000,鹿児島県,***,4
2022100000,2022年度,47000,沖縄県,***,3.6
2021100000,2021年度,1000,北海道,30.16,3.7
2021100000,2021年度,2000,青森県,15.02,2.2
2021100000,2021年度,3000,岩手県,12.77,3.5
2021100000,2021年度,4000,宮城県,27,3.6
2021100000,2021年度,5000,秋田県,15.77,2.1
2021100000,2021年度,6000,山形県,11.13,3.1
2021100000,2021年度,7000,福島県,17.24,3.3
2021100000,2021年度,8000,茨城県,34.08,2.6
2021100000,2021年度,9000,栃木県,23.6,3.3
2021100000,2021年度,10000,群馬県,24.46,3.3
2021100000,2021年度,11000,埼玉県,36.3,4.7
2021100000,2021年度,12000,千葉県,27.92,4.9
2021100000,2021年度,13000,東京都,36.31,6.1
2021100000,2021年度,14000,神奈川県,34.59,6.8
2021100000,2021年度,15000,新潟県,14.43,4
2021100000,2021年度,16000,富山県,20.62,3.9
2021100000,2021年度,17000,石川県,20.65,4.8
2021100000,2021年度,18000,福井県,15.09,3.9
2021100000,2021年度,19000,山梨県,25.93,3.9
2021100000,2021年度,20000,長野県,31.61,2.8
2021100000,2021年度,21000,岐阜県,34.4,3.8
2021100000,2021年度,22000,静岡県,23.02,4.8
2021100000,2021年度,23000,愛知県,23.82,4
2021100000,2021年度,24000,三重県,25.79,4.3
2021100000,2021年度,25000,滋賀県,30.24,3.9
2021100000,2021年度,26000,京都府,26.64,5.8
2021100000,2021年度,27000,大阪府,41.08,4.2
2021100000,2021年度,28000,兵庫県,27.94,5.8
2021100000,2021年度,29000,奈良県,35.99,3.1
2021100000,2021年度,30000,和歌山県,20.72,3.6
2021100000,2021年度,31000,鳥取県,22.16,3.1
2021100000,2021年度,32000,島根県,22.07,2.5
2021100000,2021年度,33000,岡山県,30.74,5
2021100000,2021年度,34000,広島県,29.21,4.1
2021100000,2021年度,35000,山口県,20.71,3.3
2021100000,2021年度,36000,徳島県,15.51,3.1
2021100000,2021年度,37000,香川県,20.94,3
2021100000,2021年度,38000,愛媛県,19.64,5.1
2021100000,2021年度,39000,高知県,25.91,3.5
2021100000,2021年度,40000,福岡県,30.71,5.9
2021100000,2021年度,41000,佐賀県,18.88,2.3
2021100000,2021年度,42000,長崎県,17.65,2.1
2021100000,2021年度,43000,熊本県,24.25,3.4
2021100000,2021年度,44000,大分県,21.11,2.5
2021100000,2021年度,45000,宮崎県,16.5,2.9
2021100000,2021年度,46000,鹿児島県,20.33,2.4
2021100000,2021年度,47000,沖縄県,46.47,2.7
2020100000,2020年度,1000,北海道,20.31,3.1
2020100000,2020年度,2000,青森県,9.82,1.5
2020100000,2020年度,3000,岩手県,9.19,2.4
2020100000,2020年度,4000,宮城県,18.09,2.6
2020100000,2020年度,5000,秋田県,10.38,1.7
2020100000,2020年度,6000,山形県,9.26,2.9
2020100000,2020年度,7000,福島県,12.97,1.5
2020100000,2020年度,8000,茨城県,19.1,2.4
2020100000,2020年度,9000,栃木県,17,3.5
2020100000,2020年度,10000,群馬県,13.94,3
2020100000,2020年度,11000,埼玉県,15.9,7.1
2020100000,2020年度,12000,千葉県,16.69,6.3
2020100000,2020年度,13000,東京都,21.57,5.9
2020100000,2020年度,14000,神奈川県,20.89,5.3
2020100000,2020年度,15000,新潟県,11.27,3.8
2020100000,2020年度,16000,富山県,15.53,2.9
2020100000,2020年度,17000,石川県,13,4.7
2020100000,2020年度,18000,福井県,8.91,3.6
2020100000,2020年度,19000,山梨県,17.83,3.8
2020100000,2020年度,20000,長野県,20.77,2.7
2020100000,2020年度,21000,岐阜県,18.94,3.8
2020100000,2020年度,22000,静岡県,15.37,2.7
2020100000,2020年度,23000,愛知県,16.71,5.2
2020100000,2020年度,24000,三重県,17.3,3.3
2020100000,2020年度,25000,滋賀県,19.75,4
2020100000,2020年度,26000,京都府,19.69,4.9
2020100000,2020年度,27000,大阪府,22.5,4.3
2020100000,2020年度,28000,兵庫県,16.28,4.7
2020100000,2020年度,29000,奈良県,20.54,5.6
2020100000,2020年度,30000,和歌山県,14.7,3.6
2020100000,2020年度,31000,鳥取県,18.49,1.9
2020100000,2020年度,32000,島根県,17.04,2.8
2020100000,2020年度,33000,岡山県,22.18,4.5
2020100000,2020年度,34000,広島県,17.49,3.6
2020100000,2020年度,35000,山口県,15.49,2.8
2020100000,2020年度,36000,徳島県,12.6,3.5
2020100000,2020年度,37000,香川県,12.68,2.8
2020100000,2020年度,38000,愛媛県,15.68,4.9
2020100000,2020年度,39000,高知県,19.58,3.5
2020100000,2020年度,40000,福岡県,22.48,3.7
2020100000,2020年度,41000,佐賀県,12.67,2.7
2020100000,2020年度,42000,長崎県,11.27,1.9
2020100000,2020年度,43000,熊本県,14.71,3.7
2020100000,2020年度,44000,大分県,15.65,2.5
2020100000,2020年度,45000,宮崎県,11.71,4.6
2020100000,2020年度,46000,鹿児島県,14.95,3.3
2020100000,2020年度,47000,沖縄県,30.33,3.2
2019100000,2019年度,1000,北海道,12.72,3
2019100000,2019年度,2000,青森県,9.05,2.1
2019100000,2019年度,3000,岩手県,7.32,3.6
2019100000,2019年度,4000,宮城県,15.71,3.7
2019100000,2019年度,5000,秋田県,8.94,3.5
2019100000,2019年度,6000,山形県,7.21,4
2019100000,2019年度,7000,福島県,10.74,3
2019100000,2019年度,8000,茨城県,15.49,4.8
2019100000,2019年度,9000,栃木県,13.43,3.6
2019100000,2019年度,10000,群馬県,10.6,2.4
2019100000,2019年度,11000,埼玉県,12.62,6
2019100000,2019年度,12000,千葉県,15.17,4.8
2019100000,2019年度,13000,東京都,14.88,6
2019100000,2019年度,14000,神奈川県,15.7,4.7
2019100000,2019年度,15000,新潟県,8.35,3.8
2019100000,2019年度,16000,富山県,12,2.7
2019100000,2019年度,17000,石川県,11,5
2019100000,2019年度,18000,福井県,8.6,3.9
2019100000,2019年度,19000,山梨県,16.04,2.2
2019100000,2019年度,20000,長野県,17.05,2.1
2019100000,2019年度,21000,岐阜県,14.28,5.1
2019100000,2019年度,22000,静岡県,14.31,3.2
2019100000,2019年度,23000,愛知県,12.92,4.1
2019100000,2019年度,24000,三重県,12.44,3.4
2019100000,2019年度,25000,滋賀県,15.75,4.5
2019100000,2019年度,26000,京都府,14.94,5.5
2019100000,2019年度,27000,大阪府,17.78,3.7
2019100000,2019年度,28000,兵庫県,13.95,4.5
2019100000,2019年度,29000,奈良県,18.52,5.3
2019100000,2019年度,30000,和歌山県,12.57,3.7
2019100000,2019年度,31000,鳥取県,16.56,2.7
2019100000,2019年度,32000,島根県,16.94,2.2
2019100000,2019年度,33000,岡山県,18.68,3.9
2019100000,2019年度,34000,広島県,14,5
2019100000,2019年度,35000,山口県,12.04,3.4
2019100000,2019年度,36000,徳島県,11.32,3.6
2019100000,2019年度,37000,香川県,12.11,3.1
2019100000,2019年度,38000,愛媛県,12.84,3.5
2019100000,2019年度,39000,高知県,16.47,3.5
2019100000,2019年度,40000,福岡県,17.5,4.9
2019100000,2019年度,41000,佐賀県,10.25,3.9
2019100000,2019年度,42000,長崎県,8.77,2.2
2019100000,2019年度,43000,熊本県,12,5.4
2019100000,2019年度,44000,大分県,13.44,2.6
2019100000,2019年度,45000,宮崎県,7.65,2.2
2019100000,2019年度,46000,鹿児島県,10.11,2.9
2019100000,2019年度,47000,沖縄県,22.29,2.8
2018100000,2018年度,1000,北海道,11.14,3.9
2018100000,2018年度,2000,青森県,7.84,1.9
2018100000,2018年度,3000,岩手県,6.62,2.8
2018100000,2018年度,4000,宮城県,14.54,4.6
2018100000,2018年度,5000,秋田県,8.06,2.8
2018100000,2018年度,6000,山形県,6.23,3.6
2018100000,2018年度,7000,福島県,8.88,4.5
2018100000,2018年度,8000,茨城県,12.71,2.6
2018100000,2018年度,9000,栃木県,12.32,3.7
2018100000,2018年度,10000,群馬県,9.36,2.2
2018100000,2018年度,11000,埼玉県,11.69,7
2018100000,2018年度,12000,千葉県,14.77,6.6
2018100000,2018年度,13000,東京都,13.15,6.8
2018100000,2018年度,14000,神奈川県,14.8,4.7
2018100000,2018年度,15000,新潟県,7.92,3
2018100000,2018年度,16000,富山県,10.18,4.1
2018100000,2018年度,17000,石川県,8.77,5.8
2018100000,2018年度,18000,福井県,7.87,3.3
2018100000,2018年度,19000,山梨県,15.57,3.6
2018100000,2018年度,20000,長野県,15.23,2.4
2018100000,2018年度,21000,岐阜県,13.59,4.9
2018100000,2018年度,22000,静岡県,13.26,4
2018100000,2018年度,23000,愛知県,12.53,3.8
2018100000,2018年度,24000,三重県,11.36,2.7
2018100000,2018年度,25000,滋賀県,14.33,4.4
2018100000,2018年度,26000,京都府,13.74,2.7
2018100000,2018年度,27000,大阪府,17.96,4.5
2018100000,2018年度,28000,兵庫県,12.43,3.5
2018100000,2018年度,29000,奈良県,18.71,4.5
2018100000,2018年度,30000,和歌山県,11.91,1.6
2018100000,2018年度,31000,鳥取県,15.1,3.1
2018100000,2018年度,32000,島根県,13.42,3.9
2018100000,2018年度,33000,岡山県,18.67,5.4
2018100000,2018年度,34000,広島県,13.25,3.4
2018100000,2018年度,35000,山口県,11.41,3.4
2018100000,2018年度,36000,徳島県,9.26,3.4
2018100000,2018年度,37000,香川県,11.31,4.5
2018100000,2018年度,38000,愛媛県,10.25,3.8
2018100000,2018年度,39000,高知県,15.61,5.2
2018100000,2018年度,40000,福岡県,16.34,4.3
2018100000,2018年度,41000,佐賀県,9.49,3.3
