IDUSE	SIZE	SEXA	DOBYEAR	AGEB	MARC	DATE	MONTH	DAY	DATEB	MONTHB	DAYB	XJOB1WK	XJOBHWK	SZSJBHWK	TPJB	TPJBS	TPJOBP	TPJBSE	DOCMT	SZCMTHR	SZCMTMIN	SZCMTTL	TP4WPLA	XXWPL	XXJOB	XXJE08	XJOBDWK	XJBSCH	XJOBYR	USFLSKL	SZTTLSTA	JOINUNI	ST5JOB	WLKEEPJA	OP4UNEMP	OP3NEWJB	TP5UNEMP	XWORK	AGESTPWK	XXSTPJB	TPLSTJB	TPLSTJBS	TPLSTJBP	XXLSTJB	XXLJE08	SZSTFLS	DOLOOKJB	XNUMCOWK	DOMARRY	WNTMRY	WNTMRYAG	SSJB1WK	SSTPUNEM	SSJBHRWK	SSSJBHWK	SSTPJB	SSTPJBS	SSTPJOBP	SSTPJBSE	SSXXHQX	SSXXJOB	SSXXJE08	SSJBDWK	SSXJBSCH	SSSZWKYR	SSSZSTFA	SPAGEX	SPLVTG	PPLV4G	MMLV4G	PPAGE	MMAGE	PPMG	MMMG	PPJOB	MMJOB	CCNUMTTL	CC01SEX	CC02SEX	CC03SEX	CC04SEX	CC05SEX	CC06SEX	CC01LV4G	CC02LV4G	CC03LV4G	CC04LV4G	CC05LV4G	CC06LV4G	CC01AGE	CC02AGE	CC03AGE	CC04AGE	CC05AGE	CC06AGE	CC01MG	CC02MG	CC03MG	CC04MG	CC05MG	CC06MG	CC01JOB	CC02JOB	CC03JOB	CC04JOB	CC05JOB	CC06JOB	SZFFOTHR	FFH01REL	FFH02REL	FFH03REL	FFH04REL	FFH05REL	FFH06REL	FFH07REL	FFH01SEX	FFH02SEX	FFH03SEX	FFH04SEX	FFH05SEX	FFH06SEX	FFH07SEX	FFH01AGE	FFH02AGE	FFH03AGE	FFH04AGE	FFH05AGE	FFH06AGE	FFH07AGE	SZFFONLY	SZFFTTL	FFHEAD	SZFFOUT	FFO01REL	FFO02REL	FFO03REL	FFO04REL	FFO05REL	FFO01WHY	FFO02WHY	FFO03WHY	FFO04WHY	FFO05WHY	INCSELF	INCSP	INCPAR	INCFAM	INCPEN	INCUEB	INCSAVE	INCSOC	INCIRR	INCRENT	INCINVST	INCOTHER	INCNOKN	INCMAIN	OP10LVL	SIZEHMT	OWNHOUSE	SZHSINCM	SZINCOMA	SZINCOMX	SSSZINCA	SSSZINCM	XNUMBROE	XNUMSISE	XNUMBROY	XNUMSISY	XSSNBROE	XSSNSISE	XSSNBROY	XSSNSISY	TP5LOC15	REMOTE15	CTVW20	TP5LOC20	PPJB15	PPJBT15S	PPJBT15P	PPJBXX15	PPJXXE08	PPJBSZ15	MMJBTP15	XXLSTSCH	SSLSTSCH	PPLSTSCH	MMLSTSCH	DOLSTSCH	XGRADE	XSPSCH	XXSPSTDY	DOSPSUSC	WHNSPSCH	USFLSPS	XHSSUB	XHSRATE	XUPUBLIC	XXSCHDPT	USFLLSTS	SSDOLSTS	SSXGRADE	PSPSCH	XGETJOB	TP1STJB	TP1STJBS	TPFSTJBP	XXFSTJB	SZSTFFST	XMARRY	NUMMARRY	AGE1MG	AGE2MG	AGE3MG	AGE4MG	COOP	USTAND	AREA	TPHOUSE	AUTOLOCK	PROC	DURATION	HRTV	FQ5READ	FQ5NEWSP	FQ6NWSIN	FQSPORT	FQ7FFDNR	FQ7FRSEE	FQ7CKDNR	FQ7WASH	FQ7SHOP	FQ7CLEAN	FQ7GARB	TRNBIKE	TRNMTRBK	TRNTRAIN	TRNBUS	TRNMCAR	TRNFCAR	TRNTAXI	TRNOTHER	TRNWALK	FQRACE	FQPACHI	XGMBLLIE	XGMBLBET	OP5HLTHZ	DOSMOKEX	XQTSMOKE	DO7DRINK	ST5AREAY	ST5LEISY	ST5LIFEY	ST5ECNY	ST5FRIY	ST5HLTHY	ST5SSREL	OP5HAPPZ	NOFUTR	NOGOAL	SFMHPEAC	SFMHENGY	SFMHDPRS	XLIVEYR	DOECSLP	DOECMNP	DOECWC	DOECLMC	DOECNONE	FQ4DENKI	FQ4ELC	WLLIVE	AXCONTCM	OP5FFINX	OPFFIX15	OP5SCHPF	OP5LEVK	AXECNSF	XSCYP	XSCYPPA	XSCYPSP	XSCYPCC	XSCYPFM	XSCYPSV	XSCYPCW	XSCYPFA	XSCYPST	SZHSASST	SZHSDEBT	CRNDFF	CRGIVFF	MARRYZ	SS5HLTHZ	SSFQ7CK	SSFQ7WSH	SSFQ7SHP	SSFQ7CLN	SSFQ7GRB	RR6ACCT	Q5GVEQAA	XX8PLPTY	APPCCNUM	APPCCNMX	APPCCSXB	OP2GNR	Q4DIVOK	Q4WWJBIA	Q4WNMGA	Q4MNCOOK	Q4WWHHX	Q4MNMGA	Q4JBMMCC	Q4NOCCMG	Q4WWHPHH	QFNRINCR	OPFNWFC	OPFNWCN	OPFNWAG	OPFNWCR	OPFNWPR	OP4FNECN	OP4FNEMP	OP4FNCLT	OP4FNSFE	OP4PENSN	OPNBMTCN	OPNBASS	OPCASINO	OP7CNSTX	OPINCDIF	OP7CMTRA	XINHRGRV	WLMNGGRV	OP4NAME	AGERETR	OP7STBSN	OVEREDUC	DOUSESKL	XJOBW	XJOBOW	XJOBNO	OP5WJOB	OP5WINC	OP5WPROM	OP5WJBSC	OP5UNION	OP4FRPSN	OP4FRFCR	OP4FRCRS	OP4TRUST	OP7GDEVO	TR3CORPZ	TR3RLGPZ	TR3SCHLZ	TR3BCRAZ	TR3UNNZ	TR3NWSPZ	TR3HSPLZ	TR3TVZ	TR3SPCAZ	TR3ACDAZ	TR3CGMNZ	TR3CITYZ	TR3DEFZ	TR3COPZ	TR3FINZ	MEMPLTGP	MEMIND	MEMVLNTR	MEMCIVIL	MEMRL	MEMSPORT	MEMHOBBY	MEMCOOP	DORL	XXRL	DO3PIOUS	DISQUAKE	DISTSNM	DISFLOOD	DISTSNOW	DISVOLC	DISLAND	DISNUC	AXDIS	OPNUCPOL	AXFDRAD	COMMDIS	ENHMAP	ENHMWP	ENHMSP	ENHMAGNG	ENHMSHOP	ENHMEMP	ENHMDCRM	ENHMDEPP	ENHMTRNS	ENHMDSLD	ENHMANML	ENHMD	DOWORK	SZNRWRKR	SZFWRKR	CLLGFRGN	OP5CPDCS	OP5FMCMP	OP5FMMTR	OP5SENIR	OP5MNPWR	OP5FMMGR	FQ5JBIF	FQ5FLIF	HDFMCARE	HDHOBBY	HDSICK	WRKSECUR	WRKHIPAY	WRKPROMO	WRKFREE	WRKVLM	WRKRWRD	WRKFAMIL	WRKABLTY	WRKSOCTY	WRKSHARE	WRKPRIDE	WEIGHT
953	2	1	1950	64	1	328	3	28	329	3	29	1	35	0	3	8	8	2	2	88	888	8888	2	50	504	2161	5	30	7	1	1	3	2	2	5	3	8	8	888	88	8	8	8	998	88888	8	2	3	1	8	888	3	4	888	888	8	8	8	8	998	998	88888	88	888	888	88	61	1	4	1	888	92	8	3	8	2	2	2	1	8	8	8	8	2	1	8	8	8	8	38	32	888	888	888	888	4	4	8	8	8	8	1	1	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	3	4	0	0	88	88	88	88	88	8	8	8	8	8	1	0	0	0	1	0	0	0	0	0	0	0	0	1	4	3	1	7	7	6	1	23	0	1	0	0	1	3	0	0	2	2	1	8	3	8	8	648	8151	1	7	9	9	1	1	1	88	1	21	1	2	1	1	1	8	888	1	1	88	2	1	1	1	1	998	3	1	1	25	888	888	888	1	1	3	2	1	1	29	2	2	1	4	2	1	5	2	3	2	3	1	1	0	1	0	1	0	0	0	0	1	1	2	2	3	1	2	4	2	3	1	3	2	4	1	1	4	2	2	2	4	5	0	0	0	0	1	3	3	2	3	2	3	4	4	2	2	8	8	8	8	8	8	8	8	3	5	1	1	1	3	3	1	3	2	3	2	1	2	3	888	2	1	2	3	3	2	3	3	3	3	3	1	2	2	2	2	2	3	3	2	3	4	4	4	2	3	3	1	1	2	2	6	6	3	2	0	0	1	4	4	4	3	2	1	2	2	2	6	3	3	2	3	2	2	2	3	1	2	3	3	2	2	2	2	2	2	2	2	2	2	2	3	88	8	3	4	4	4	4	4	4	4	4	3	5	3	4	4	2	4	4	3	3	4	4	4	4	1	1	1	2	3	3	3	3	3	3	4	4	2	2	2	3	4	4	2	2	2	2	2	2	3	2	42163
53	2	2	1941	73	1	324	3	24	328	3	28	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	4	1	60	5	1	2	8	685	9334	2	2	3	1	8	888	3	2	888	888	8	8	8	8	998	998	88888	88	888	888	88	80	1	4	4	888	888	8	8	8	8	3	2	1	1	8	8	8	3	3	3	8	8	8	49	45	40	888	888	888	1	1	3	8	8	8	1	1	1	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	1	2	1	0	88	88	88	88	88	8	8	8	8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	5	5	4	1	6	3	23	5	23	2	0	1	0	3	2	0	0	3	2	1	8	7	8	8	998	88888	8	5	9	12	14	14	1	88	2	88	8	8	8	1	2	8	888	3	1	88	1	1	1	1	1	555	5	1	1	23	888	888	888	1	2	2	1	8	1	25	8	1	1	6	1	1	5	1	2	2	2	9	0	0	1	0	0	1	1	0	0	1	1	2	2	2	3	8	7	4	3	4	3	2	3	3	3	3	4	3	3	3	8	0	0	0	0	1	1	1	1	3	2	2	3	3	3	1	0	1	0	0	0	0	0	0	8	1	1	1	1	4	7	7	2	7	4	5	2	2	3	888	1	1	3	2	2	2	2	2	2	3	2	1	2	2	2	3	2	3	2	3	2	4	2	2	1	3	1	4	3	8	1	6	6	1	1	1	0	0	3	4	3	4	2	2	2	2	2	5	2	3	2	2	2	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2	2	3	88	8	2	4	4	4	4	4	3	3	4	3	3	2	2	3	3	3	2	1	3	3	3	3	3	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	48169
1261	2	2	1950	64	1	329	3	29	331	3	31	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	4	1	57	1	1	1	1	559	4311	3	2	4	1	8	888	3	2	888	888	8	8	8	8	998	998	88888	88	888	888	88	68	1	4	4	888	888	8	8	8	8	2	2	1	8	8	8	8	3	1	8	8	8	8	41	37	888	888	888	888	1	4	8	8	8	8	1	1	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	2	3	1	0	88	88	88	88	88	8	8	8	8	8	0	0	0	1	1	0	0	0	0	0	0	0	0	5	5	3	1	12	2	23	7	23	3	1	1	2	2	0	0	1	1	2	1	8	3	8	8	572	3324	1	1	9	12	3	3	1	88	2	88	8	8	8	3	4	8	888	1	1	88	2	1	1	1	1	559	5	1	1	21	888	888	888	1	1	3	1	8	1	28	5	2	1	6	1	1	4	1	1	2	1	1	1	0	1	0	0	1	0	0	0	1	1	2	2	1	3	8	7	1	1	1	3	1	1	1	2	3	3	1	4	5	7	0	0	0	0	1	1	1	1	3	2	2	3	4	1	2	8	8	8	8	8	8	8	8	5	6	2	8	1	2	6	6	3	3	3	1	2	3	3	888	2	2	3	2	2	2	2	3	1	3	2	2	2	2	2	2	2	3	2	3	2	3	2	2	1	4	1	3	3	8	1	5	6	1	1	0	0	1	3	3	3	3	3	1	1	1	2	4	3	2	3	3	4	2	2	2	2	2	3	3	3	3	3	2	2	2	2	1	2	2	1	1	41	3	1	3	3	3	3	3	3	1	3	1	3	3	3	3	1	3	2	3	3	3	3	4	4	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	47477
1729	2	2	1942	72	1	328	3	28	329	3	29	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	4	1	56	4	1	2	8	569	5223	2	2	3	1	8	888	3	5	888	888	8	8	8	8	998	998	88888	88	888	888	88	78	1	4	4	888	888	8	8	8	8	2	1	2	8	8	8	8	2	2	8	8	8	8	47	45	888	888	888	888	1	1	8	8	8	8	1	2	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	1	2	1	0	88	88	88	88	88	8	8	8	8	8	0	0	0	0	1	0	0	0	0	0	0	0	0	5	3	3	1	6	3	23	4	23	0	2	2	1	1	2	2	1	3	1	1	8	3	8	8	628	7221	2	8	9	9	1	1	1	88	2	88	8	8	8	1	3	8	888	2	1	88	1	1	1	1	1	569	6	1	1	21	888	888	888	3	2	3	1	8	1	28	5	0	1	6	5	1	7	1	1	2	1	2	1	0	1	1	0	0	0	0	0	1	1	2	2	4	3	8	7	1	3	3	5	1	4	3	1	3	3	2	4	3	8	0	0	0	0	1	1	1	1	4	1	3	3	4	1	2	8	8	8	8	8	8	8	8	5	1	1	1	1	5	7	7	7	7	7	4	1	8	3	888	1	1	4	2	2	3	1	2	3	3	2	2	3	3	2	2	2	3	2	2	2	4	1	2	1	3	1	3	3	8	1	4	6	1	1	0	0	1	4	4	5	4	3	1	2	1	2	6	4	4	1	1	4	2	2	4	2	2	4	4	2	4	4	2	2	2	2	2	2	2	2	3	88	8	3	4	4	4	4	4	4	4	4	3	2	4	4	4	2	4	3	3	3	4	3	4	3	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	48169
437	2	1	1961	53	1	329	3	29	331	3	31	1	45	0	1	1	5	8	1	1	10	70	4	60	550	1221	6	45	32	2	8	3	3	2	4	3	8	8	888	88	8	8	8	998	88888	8	2	2	1	8	888	3	4	888	888	8	8	8	8	998	998	88888	88	888	888	88	45	1	4	1	888	83	8	3	8	2	2	1	2	8	8	8	8	1	1	8	8	8	8	16	13	888	888	888	888	4	4	8	8	8	8	2	2	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	4	5	0	0	88	88	88	88	88	8	8	8	8	8	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	1	12	12	12	1	23	0	1	0	0	0	1	0	0	2	2	3	2	1	1	2	684	3123	3	1	12	12	12	12	1	88	2	88	8	8	8	1	2	2	307	2	1	88	2	1	1	1	1	573	8	1	1	34	888	888	888	2	1	4	1	8	1	23	2	2	1	1	2	2	5	5	7	5	5	3	1	0	1	0	0	0	0	0	0	1	1	2	2	3	2	8	1	3	4	3	3	3	4	3	3	2	3	3	2	3	6	1	0	0	0	0	2	2	2	2	3	3	3	2	2	2	8	8	8	8	8	8	8	8	6	1	2	8	1	3	1	1	2	1	2	1	3	8	2	888	1	2	1	2	1	1	2	2	2	1	3	2	2	2	1	2	3	4	3	2	3	1	3	3	1	3	4	1	1	1	2	4	3	1	1	0	1	0	2	3	3	3	3	2	1	2	3	4	3	4	4	3	4	2	2	3	1	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	88	8	2	4	4	2	2	4	4	2	4	1	2	2	2	3	2	3	3	2	4	2	3	3	2	1	2	1	2	4	4	2	4	3	3	4	5	3	3	3	2	3	3	4	3	2	2	3	2	3	2	47981
294	2	1	1949	65	1	329	3	29	331	3	31	1	40	0	1	2	8	8	1	2	0	120	2	60	596	5414	2	35	10	3	5	3	3	2	3	2	8	8	888	88	8	8	8	998	88888	8	2	4	1	8	888	1	8	16	0	1	2	8	8	92	581	5120	4	16	10	5	62	1	4	4	888	888	8	8	8	8	2	1	2	8	8	8	8	2	2	8	8	8	8	36	32	888	888	888	888	1	1	8	8	8	8	1	1	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	1	2	0	0	88	88	88	88	88	8	8	8	8	8	1	0	0	0	1	0	0	0	0	0	0	0	0	5	4	3	1	10	8	4	3	3	3	0	0	0	2	2	0	0	1	2	1	8	3	8	8	566	5221	2	8	12	11	1	3	1	88	2	88	8	8	8	1	1	3	307	3	1	88	1	1	1	1	1	573	5	1	1	28	888	888	888	1	1	3	1	8	1	25	2	4	1	2	2	1	4	3	6	3	2	1	0	0	1	0	1	0	0	0	0	1	1	2	2	1	2	8	2	1	1	1	2	1	1	2	2	4	4	2	2	5	6	0	0	0	0	1	1	1	1	1	3	4	4	4	2	2	8	8	8	8	8	8	8	8	9	8	2	8	1	2	1	2	2	4	4	1	3	8	3	888	2	1	4	2	2	2	2	3	3	4	3	1	2	2	2	2	2	2	3	2	3	3	2	2	2	5	5	3	3	8	1	5	4	2	1	0	0	1	3	4	4	3	4	2	3	2	2	6	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	2	2	2	2	1	2	2	1	1	41	3	2	4	4	4	2	4	4	3	2	4	3	3	4	4	3	4	4	3	4	4	4	4	4	1	4	1	2	1	2	2	1	1	3	4	4	1	1	1	2	3	4	1	1	2	2	3	3	3	3	42163
758	3	2	1945	69	1	321	3	21	327	3	27	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	4	1	63	4	1	2	8	652	8153	3	2	3	1	8	888	3	2	888	888	8	8	8	8	998	998	88888	88	888	888	88	71	1	4	4	888	888	8	8	8	8	0	8	8	8	8	8	8	8	8	8	8	8	8	888	888	888	888	888	888	8	8	8	8	8	8	8	8	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	1	2	1	0	88	88	88	88	88	8	8	8	8	8	0	1	0	0	1	0	0	0	0	0	0	0	0	2	4	3	1	21	3	23	21	23	4	2	1	0	1	0	0	0	3	1	1	8	3	8	8	686	9332	1	1	8	8	1	1	1	88	2	88	8	8	8	88	8	8	888	2	1	88	2	1	1	1	1	649	5	1	1	23	888	888	888	2	2	4	1	8	1	15	10	0	4	6	1	1	5	1	1	3	2	2	1	0	0	0	1	1	0	0	0	1	1	2	2	1	3	8	7	1	3	3	3	3	2	2	2	3	3	2	2	4	8	0	0	0	0	1	2	3	1	3	3	4	1	4	3	2	8	8	8	8	8	8	8	8	6	3	2	8	1	1	5	2	7	3	2	5	3	8	2	888	2	2	2	1	2	1	2	2	2	1	2	2	3	2	2	2	3	3	3	3	2	2	3	3	1	1	2	2	3	8	2	6	6	3	3	0	0	1	4	4	4	3	3	2	1	1	3	4	2	3	2	4	4	2	2	2	4	4	4	3	2	1	1	2	2	1	2	2	1	1	2	3	88	8	3	4	4	4	4	4	4	3	4	4	3	4	4	4	2	4	3	3	3	3	4	4	4	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	47477
725	3	2	1932	82	3	327	3	27	404	4	4	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	4	1	55	13	3	8	8	516	5321	2	2	3	3	3	888	8	8	888	888	8	8	8	8	998	998	88888	88	888	888	88	888	8	4	4	888	888	8	8	8	8	2	2	1	8	8	8	8	1	1	8	8	8	8	51	49	888	888	888	888	4	4	8	8	8	8	2	1	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	2	3	11	0	88	88	88	88	88	8	8	8	8	8	0	0	0	1	1	0	0	0	0	0	0	0	0	4	4	4	1	21	5	23	22	22	1	2	0	0	3	0	0	1	2	2	1	8	3	8	8	651	7531	2	8	3	7	14	14	1	88	2	88	8	8	8	88	8	8	888	1	1	88	2	1	1	1	1	521	12	1	1	30	888	888	888	1	1	3	1	8	1	27	2	0	1	6	5	1	5	1	1	4	2	1	0	0	0	0	0	1	0	0	0	1	1	2	2	4	3	8	7	2	2	2	2	1	4	6	2	3	3	3	5	4	7	0	0	0	0	1	2	2	1	2	1	3	4	2	1	2	8	8	8	8	8	8	8	8	15	1	1	1	2	8	8	8	8	8	8	8	1	8	3	888	1	1	3	2	2	2	2	3	3	2	2	1	2	2	2	2	2	2	2	2	3	3	3	2	1	3	2	3	3	8	1	4	6	1	1	0	0	1	3	4	4	4	2	1	1	1	2	6	2	3	2	2	4	2	2	2	1	2	2	2	1	1	1	2	2	2	2	2	2	1	2	3	88	8	1	4	2	1	4	2	4	1	4	1	4	2	2	2	1	2	2	3	3	2	3	3	3	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	64208
254	3	1	1955	59	1	327	3	27	404	4	4	3	888	888	8	8	8	8	8	88	888	8888	8	998	998	88888	88	888	888	8	88	8	8	8	8	8	2	1	59	2	1	1	3	523	2330	6	1	2	1	8	888	3	4	888	888	8	8	8	8	998	998	88888	88	888	888	88	59	1	4	3	888	90	8	3	8	2	3	2	2	2	8	8	8	3	3	3	8	8	8	34	30	26	888	888	888	1	1	1	8	8	8	2	2	2	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	1	2	0	0	88	88	88	88	88	8	8	8	8	8	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	3	1	13	13	23	1	23	1	0	0	0	1	0	0	0	4	1	1	8	7	8	8	998	88888	8	5	12	11	14	3	1	88	2	88	8	8	8	1	4	3	380	1	1	88	2	1	1	1	1	521	12	1	1	25	888	888	888	1	1	3	1	8	1	15	5	4	1	6	1	3	3	7	5	1	2	3	0	0	0	0	1	0	0	0	0	1	1	2	2	2	3	8	7	3	2	2	3	3	2	2	2	3	4	2	2	5	8	0	0	0	1	0	2	2	3	3	4	4	4	2	3	2	8	8	8	8	8	8	8	8	8	7	2	8	1	2	1	1	2	3	2	6	2	8	3	888	2	2	3	2	2	2	3	2	2	3	3	1	2	2	2	2	2	2	3	2	3	1	3	4	4	3	3	3	3	8	3	4	2	1	1	0	0	1	3	3	3	3	3	2	3	3	2	5	2	3	2	2	2	2	2	2	2	2	3	3	2	3	2	2	2	2	2	2	1	2	2	3	88	8	3	4	3	4	4	4	4	3	3	3	4	3	3	3	3	3	3	2	3	3	3	3	3	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	47981
288	3	2	1976	38	1	404	4	4	409	4	9	1	12	0	1	2	8	8	1	0	10	10	2	140	514	3221	3	12	2	1	6	3	1	3	4	2	8	8	888	88	8	8	8	998	88888	8	2	2	1	8	888	1	8	45	0	1	1	1	8	180	595	5411	5	40	11	12	34	1	3	3	70	68	1	1	2	2	2	2	2	8	8	8	8	1	1	8	8	8	8	7	5	888	888	888	888	4	4	8	8	8	8	2	2	8	8	8	8	0	88	88	88	88	88	88	88	8	8	8	8	8	8	8	888	888	888	888	888	888	888	3	4	1	0	88	88	88	88	88	8	8	8	8	8	1	1	0	0	0	0	0	0	0	0	0	0	0	2	5	3	1	11	3	3	10	10	1	0	0	0	0	1	0	1	3	1	3	2	1	1	7	503	3115	5	3	9	12	9	9	1	88	1	23	1	2	1	1	2	8	888	2	1	88	2	1	1	1	1	514	13	1	1	28	888	888	888	1	1	4	1	8	1	20	2	1	1	2	3	1	4	1	1	2	1	1	1	0	0	0	1	0	0	0	0	1	1	2	2	2	2	8	4	3	3	3	4	2	2	4	3	3	3	3	3	4	4	0	1	1	0	0	1	1	2	3	3	4	3	3	2	1	0	1	0	0	0	0	0	0	7	4	2	8	1	3	6	3	3	3	3	3	3	1	3	888	2	2	3	4	4	2	3	4	3	3	3	2	2	2	2	3	1	3	3	2	1	3	2	2	4	3	3	2	2	1	3	4	6	1	3	0	0	1	3	3	3	3	3	1	2	2	2	4	2	3	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	3	88	8	1	4	2	3	3	2	4	2	4	1	5	2	3	3	2	2	2	2	3	3	3	3	3	1	1	3	2	2	2	1	3	1	2	3	3	2	3	2	3	2	2	3	3	2	2	2	1	1	1	43601
