調査年 コード,調査年,地域 コード,地域,#E09211_小学校長期欠席児童比率（年度間30日以上）（児童千人当たり）【‐】,#L02411_食料費割合（二人以上の世帯）【％】
2022100000,2022年度,1000,北海道,***,26.3
2022100000,2022年度,2000,青森県,***,29.5
2022100000,2022年度,3000,岩手県,***,27
2022100000,2022年度,4000,宮城県,***,27.3
2022100000,2022年度,5000,秋田県,***,26.7
2022100000,2022年度,6000,山形県,***,28
2022100000,2022年度,7000,福島県,***,27.1
2022100000,2022年度,8000,茨城県,***,24
2022100000,2022年度,9000,栃木県,***,27.2
2022100000,2022年度,10000,群馬県,***,25
2022100000,2022年度,11000,埼玉県,***,27.1
2022100000,2022年度,12000,千葉県,***,27.8
2022100000,2022年度,13000,東京都,***,27.4
2022100000,2022年度,14000,神奈川県,***,28.2
2022100000,2022年度,15000,新潟県,***,27.3
2022100000,2022年度,16000,富山県,***,26.4
2022100000,2022年度,17000,石川県,***,27.3
2022100000,2022年度,18000,福井県,***,27.4
2022100000,2022年度,19000,山梨県,***,26.2
2022100000,2022年度,20000,長野県,***,25.3
2022100000,2022年度,21000,岐阜県,***,24.7
2022100000,2022年度,22000,静岡県,***,27.7
2022100000,2022年度,23000,愛知県,***,25
2022100000,2022年度,24000,三重県,***,26
2022100000,2022年度,25000,滋賀県,***,26.5
2022100000,2022年度,26000,京都府,***,28
2022100000,2022年度,27000,大阪府,***,30.5
2022100000,2022年度,28000,兵庫県,***,27.4
2022100000,2022年度,29000,奈良県,***,27
2022100000,2022年度,30000,和歌山県,***,26
2022100000,2022年度,31000,鳥取県,***,25.5
2022100000,2022年度,32000,島根県,***,26
2022100000,2022年度,33000,岡山県,***,24.3
2022100000,2022年度,34000,広島県,***,26.8
2022100000,2022年度,35000,山口県,***,23.3
2022100000,2022年度,36000,徳島県,***,25
2022100000,2022年度,37000,香川県,***,25.1
2022100000,2022年度,38000,愛媛県,***,27.7
2022100000,2022年度,39000,高知県,***,25.7
2022100000,2022年度,40000,福岡県,***,26.5
2022100000,2022年度,41000,佐賀県,***,25.6
2022100000,2022年度,42000,長崎県,***,27.1
2022100000,2022年度,43000,熊本県,***,24.9
2022100000,2022年度,44000,大分県,***,25.2
2022100000,2022年度,45000,宮崎県,***,25.8
2022100000,2022年度,46000,鹿児島県,***,25.1
2022100000,2022年度,47000,沖縄県,***,27.1
2021100000,2021年度,1000,北海道,30.16,26.6
2021100000,2021年度,2000,青森県,15.02,28.4
2021100000,2021年度,3000,岩手県,12.77,27
2021100000,2021年度,4000,宮城県,27,26.6
2021100000,2021年度,5000,秋田県,15.77,29.2
2021100000,2021年度,6000,山形県,11.13,24.7
2021100000,2021年度,7000,福島県,17.24,26.1
2021100000,2021年度,8000,茨城県,34.08,24.7
2021100000,2021年度,9000,栃木県,23.6,26.5
2021100000,2021年度,10000,群馬県,24.46,26.3
2021100000,2021年度,11000,埼玉県,36.3,27.6
2021100000,2021年度,12000,千葉県,27.92,27.8
2021100000,2021年度,13000,東京都,36.31,28.2
2021100000,2021年度,14000,神奈川県,34.59,28.8
2021100000,2021年度,15000,新潟県,14.43,25.5
2021100000,2021年度,16000,富山県,20.62,25.6
2021100000,2021年度,17000,石川県,20.65,27.3
2021100000,2021年度,18000,福井県,15.09,28.7
2021100000,2021年度,19000,山梨県,25.93,27
2021100000,2021年度,20000,長野県,31.61,24.5
2021100000,2021年度,21000,岐阜県,34.4,25.4
2021100000,2021年度,22000,静岡県,23.02,26
2021100000,2021年度,23000,愛知県,23.82,28.6
2021100000,2021年度,24000,三重県,25.79,24.8
2021100000,2021年度,25000,滋賀県,30.24,27.3
2021100000,2021年度,26000,京都府,26.64,28.6
2021100000,2021年度,27000,大阪府,41.08,31.4
2021100000,2021年度,28000,兵庫県,27.94,27.1
2021100000,2021年度,29000,奈良県,35.99,26.8
2021100000,2021年度,30000,和歌山県,20.72,28.8
2021100000,2021年度,31000,鳥取県,22.16,25.1
2021100000,2021年度,32000,島根県,22.07,26.4
2021100000,2021年度,33000,岡山県,30.74,25.7
2021100000,2021年度,34000,広島県,29.21,26.4
2021100000,2021年度,35000,山口県,20.71,24.5
2021100000,2021年度,36000,徳島県,15.51,25.9
2021100000,2021年度,37000,香川県,20.94,25.9
2021100000,2021年度,38000,愛媛県,19.64,27.8
2021100000,2021年度,39000,高知県,25.91,26.7
2021100000,2021年度,40000,福岡県,30.71,26.4
2021100000,2021年度,41000,佐賀県,18.88,25.1
2021100000,2021年度,42000,長崎県,17.65,28.4
2021100000,2021年度,43000,熊本県,24.25,24.7
2021100000,2021年度,44000,大分県,21.11,24.8
2021100000,2021年度,45000,宮崎県,16.5,27.8
2021100000,2021年度,46000,鹿児島県,20.33,23.6
2021100000,2021年度,47000,沖縄県,46.47,29.3
2020100000,2020年度,1000,北海道,20.31,25.7
2020100000,2020年度,2000,青森県,9.82,29.9
2020100000,2020年度,3000,岩手県,9.19,27.3
2020100000,2020年度,4000,宮城県,18.09,28.8
2020100000,2020年度,5000,秋田県,10.38,27.5
2020100000,2020年度,6000,山形県,9.26,26.3
2020100000,2020年度,7000,福島県,12.97,27.1
2020100000,2020年度,8000,茨城県,19.1,26
2020100000,2020年度,9000,栃木県,17,27.1
2020100000,2020年度,10000,群馬県,13.94,26.7
2020100000,2020年度,11000,埼玉県,15.9,25.8
2020100000,2020年度,12000,千葉県,16.69,27.3
2020100000,2020年度,13000,東京都,21.57,28.3
2020100000,2020年度,14000,神奈川県,20.89,28.4
2020100000,2020年度,15000,新潟県,11.27,27.6
2020100000,2020年度,16000,富山県,15.53,26.5
2020100000,2020年度,17000,石川県,13,26.4
2020100000,2020年度,18000,福井県,8.91,29.8
2020100000,2020年度,19000,山梨県,17.83,26.4
2020100000,2020年度,20000,長野県,20.77,26.7
2020100000,2020年度,21000,岐阜県,18.94,25.2
2020100000,2020年度,22000,静岡県,15.37,28.2
2020100000,2020年度,23000,愛知県,16.71,27.8
2020100000,2020年度,24000,三重県,17.3,25.7
2020100000,2020年度,25000,滋賀県,19.75,26.7
2020100000,2020年度,26000,京都府,19.69,31.1
2020100000,2020年度,27000,大阪府,22.5,31.2
2020100000,2020年度,28000,兵庫県,16.28,29.1
2020100000,2020年度,29000,奈良県,20.54,27.1
2020100000,2020年度,30000,和歌山県,14.7,26.9
2020100000,2020年度,31000,鳥取県,18.49,25.7
2020100000,2020年度,32000,島根県,17.04,24.9
2020100000,2020年度,33000,岡山県,22.18,27.4
2020100000,2020年度,34000,広島県,17.49,27.5
2020100000,2020年度,35000,山口県,15.49,25.1
2020100000,2020年度,36000,徳島県,12.6,25.8
2020100000,2020年度,37000,香川県,12.68,26.2
2020100000,2020年度,38000,愛媛県,15.68,28.2
2020100000,2020年度,39000,高知県,19.58,27.3
2020100000,2020年度,40000,福岡県,22.48,23.8
2020100000,2020年度,41000,佐賀県,12.67,25.5
2020100000,2020年度,42000,長崎県,11.27,26.6
2020100000,2020年度,43000,熊本県,14.71,24.6
2020100000,2020年度,44000,大分県,15.65,26.2
2020100000,2020年度,45000,宮崎県,11.71,27.2
2020100000,2020年度,46000,鹿児島県,14.95,26.5
2020100000,2020年度,47000,沖縄県,30.33,30.6
2019100000,2019年度,1000,北海道,12.72,24.7
2019100000,2019年度,2000,青森県,9.05,27.3
2019100000,2019年度,3000,岩手県,7.32,25.7
2019100000,2019年度,4000,宮城県,15.71,28.2
2019100000,2019年度,5000,秋田県,8.94,26.4
2019100000,2019年度,6000,山形県,7.21,25.3
2019100000,2019年度,7000,福島県,10.74,26.2
2019100000,2019年度,8000,茨城県,15.49,24.8
2019100000,2019年度,9000,栃木県,13.43,25.5
2019100000,2019年度,10000,群馬県,10.6,27.1
2019100000,2019年度,11000,埼玉県,12.62,25.3
2019100000,2019年度,12000,千葉県,15.17,25.4
2019100000,2019年度,13000,東京都,14.88,26.8
2019100000,2019年度,14000,神奈川県,15.7,27
2019100000,2019年度,15000,新潟県,8.35,25.7
2019100000,2019年度,16000,富山県,12,25.5
2019100000,2019年度,17000,石川県,11,24.5
2019100000,2019年度,18000,福井県,8.6,26.7
2019100000,2019年度,19000,山梨県,16.04,24.2
2019100000,2019年度,20000,長野県,17.05,23.7
2019100000,2019年度,21000,岐阜県,14.28,25.6
2019100000,2019年度,22000,静岡県,14.31,27.6
2019100000,2019年度,23000,愛知県,12.92,26.4
2019100000,2019年度,24000,三重県,12.44,23.8
2019100000,2019年度,25000,滋賀県,15.75,26.2
2019100000,2019年度,26000,京都府,14.94,28.7
2019100000,2019年度,27000,大阪府,17.78,28.4
2019100000,2019年度,28000,兵庫県,13.95,27.6
2019100000,2019年度,29000,奈良県,18.52,24.3
2019100000,2019年度,30000,和歌山県,12.57,26.9
2019100000,2019年度,31000,鳥取県,16.56,25.8
2019100000,2019年度,32000,島根県,16.94,24.2
2019100000,2019年度,33000,岡山県,18.68,24.1
2019100000,2019年度,34000,広島県,14,24.9
2019100000,2019年度,35000,山口県,12.04,24
2019100000,2019年度,36000,徳島県,11.32,24.8
2019100000,2019年度,37000,香川県,12.11,22.3
2019100000,2019年度,38000,愛媛県,12.84,25.8
2019100000,2019年度,39000,高知県,16.47,24.5
2019100000,2019年度,40000,福岡県,17.5,24.7
2019100000,2019年度,41000,佐賀県,10.25,24
2019100000,2019年度,42000,長崎県,8.77,25.3
2019100000,2019年度,43000,熊本県,12,23.8
2019100000,2019年度,44000,大分県,13.44,25.2
2019100000,2019年度,45000,宮崎県,7.65,24.9
2019100000,2019年度,46000,鹿児島県,10.11,25.1
2019100000,2019年度,47000,沖縄県,22.29,29.3
2018100000,2018年度,1000,北海道,11.14,24.6
2018100000,2018年度,2000,青森県,7.84,27.2
2018100000,2018年度,3000,岩手県,6.62,26.2
2018100000,2018年度,4000,宮城県,14.54,26.4
2018100000,2018年度,5000,秋田県,8.06,25.7
2018100000,2018年度,6000,山形県,6.23,24.1
2018100000,2018年度,7000,福島県,8.88,24.6
2018100000,2018年度,8000,茨城県,12.71,24.5
2018100000,2018年度,9000,栃木県,12.32,24.3
2018100000,2018年度,10000,群馬県,9.36,26.5
2018100000,2018年度,11000,埼玉県,11.69,25.1
2018100000,2018年度,12000,千葉県,14.77,26.5
2018100000,2018年度,13000,東京都,13.15,26.8
2018100000,2018年度,14000,神奈川県,14.8,26.7
2018100000,2018年度,15000,新潟県,7.92,25.7
2018100000,2018年度,16000,富山県,10.18,25.3
2018100000,2018年度,17000,石川県,8.77,23.2
2018100000,2018年度,18000,福井県,7.87,26.2
2018100000,2018年度,19000,山梨県,15.57,26
2018100000,2018年度,20000,長野県,15.23,24.9
2018100000,2018年度,21000,岐阜県,13.59,23.9
2018100000,2018年度,22000,静岡県,13.26,26.1
2018100000,2018年度,23000,愛知県,12.53,26.5
2018100000,2018年度,24000,三重県,11.36,26.6
2018100000,2018年度,25000,滋賀県,14.33,28.4
2018100000,2018年度,26000,京都府,13.74,27.8
2018100000,2018年度,27000,大阪府,17.96,29.9
2018100000,2018年度,28000,兵庫県,12.43,27.2
2018100000,2018年度,29000,奈良県,18.71,25.6
2018100000,2018年度,30000,和歌山県,11.91,29.2
2018100000,2018年度,31000,鳥取県,15.1,26.6
