調査年 コード,調査年,地域 コード,地域,C3107_耕地面積【ｈａ】
2021100000,2021年度,1100,北海道 札幌市,2550
2021100000,2021年度,1101,北海道 札幌市 中央区,-
2021100000,2021年度,1102,北海道 札幌市 北区,-
2021100000,2021年度,1103,北海道 札幌市 東区,-
2021100000,2021年度,1104,北海道 札幌市 白石区,-
2021100000,2021年度,1105,北海道 札幌市 豊平区,-
2021100000,2021年度,1106,北海道 札幌市 南区,-
2021100000,2021年度,1107,北海道 札幌市 西区,-
2021100000,2021年度,1108,北海道 札幌市 厚別区,-
2021100000,2021年度,1109,北海道 札幌市 手稲区,-
2021100000,2021年度,1110,北海道 札幌市 清田区,-
2021100000,2021年度,1202,北海道 函館市,1940
2021100000,2021年度,1203,北海道 小樽市,182
2021100000,2021年度,1204,北海道 旭川市,13800
2021100000,2021年度,1205,北海道 室蘭市,227
2021100000,2021年度,1206,北海道 釧路市,10500
2021100000,2021年度,1207,北海道 帯広市,22900
2021100000,2021年度,1208,北海道 北見市,23700
2021100000,2021年度,1209,北海道 夕張市,726
2021100000,2021年度,1210,北海道 岩見沢市,19700
2021100000,2021年度,1211,北海道 網走市,14000
2021100000,2021年度,1212,北海道 留萌市,1060
2021100000,2021年度,1213,北海道 苫小牧市,1240
2021100000,2021年度,1214,北海道 稚内市,14700
2021100000,2021年度,1215,北海道 美唄市,9410
2021100000,2021年度,1216,北海道 芦別市,3540
2021100000,2021年度,1217,北海道 江別市,7040
2021100000,2021年度,1218,北海道 赤平市,836
2021100000,2021年度,1219,北海道 紋別市,8450
2021100000,2021年度,1220,北海道 士別市,16600
2021100000,2021年度,1221,北海道 名寄市,10400
2021100000,2021年度,1222,北海道 三笠市,1340
2021100000,2021年度,1223,北海道 根室市,9600
2021100000,2021年度,1224,北海道 千歳市,5860
2021100000,2021年度,1225,北海道 滝川市,5090
2021100000,2021年度,1226,北海道 砂川市,1500
2021100000,2021年度,1227,北海道 歌志内市,12
2021100000,2021年度,1228,北海道 深川市,11500
2021100000,2021年度,1229,北海道 富良野市,10500
2021100000,2021年度,1230,北海道 登別市,1030
2021100000,2021年度,1231,北海道 恵庭市,4300
2021100000,2021年度,1233,北海道 伊達市,4960
2021100000,2021年度,1234,北海道 北広島市,1940
