調査年 コード,調査年,地域 コード,地域,総面積,耕地面積
2021100000,2021年度,1100,北海道 札幌市,112126,2550
2021100000,2021年度,1101,北海道 札幌市 中央区,4642,-
2021100000,2021年度,1102,北海道 札幌市 北区,6357,-
2021100000,2021年度,1103,北海道 札幌市 東区,5697,-
2021100000,2021年度,1104,北海道 札幌市 白石区,3447,-
2021100000,2021年度,1105,北海道 札幌市 豊平区,4623,-
2021100000,2021年度,1106,北海道 札幌市 南区,65748,-
2021100000,2021年度,1107,北海道 札幌市 西区,7510,-
2021100000,2021年度,1108,北海道 札幌市 厚別区,2438,-
2021100000,2021年度,1109,北海道 札幌市 手稲区,5677,-
2021100000,2021年度,1110,北海道 札幌市 清田区,5987,-
2021100000,2021年度,1202,北海道 函館市,67787,1940
2021100000,2021年度,1203,北海道 小樽市,24383,182
2021100000,2021年度,1204,北海道 旭川市,74766,13800
2021100000,2021年度,1205,北海道 室蘭市,8101,227
2021100000,2021年度,1206,北海道 釧路市,136329,10500
2021100000,2021年度,1207,北海道 帯広市,61934,22900
2021100000,2021年度,1208,北海道 北見市,142741,23700
2021100000,2021年度,1209,北海道 夕張市,76307,726
2021100000,2021年度,1210,北海道 岩見沢市,48102,19700
2021100000,2021年度,1211,北海道 網走市,47100,14000
2021100000,2021年度,1212,北海道 留萌市,29784,1060
2021100000,2021年度,1213,北海道 苫小牧市,56165,1240
2021100000,2021年度,1214,北海道 稚内市,76142,14700
2021100000,2021年度,1215,北海道 美唄市,27769,9410
2021100000,2021年度,1216,北海道 芦別市,86504,3540
2021100000,2021年度,1217,北海道 江別市,18738,7040
2021100000,2021年度,1218,北海道 赤平市,12988,836
2021100000,2021年度,1219,北海道 紋別市,83067,8450
2021100000,2021年度,1220,北海道 士別市,111922,16600
2021100000,2021年度,1221,北海道 名寄市,53520,10400
2021100000,2021年度,1222,北海道 三笠市,30252,1340
2021100000,2021年度,1223,北海道 根室市,41141,9600
2021100000,2021年度,1224,北海道 千歳市,59450,5860
2021100000,2021年度,1225,北海道 滝川市,11590,5090
2021100000,2021年度,1226,北海道 砂川市,7868,1500
2021100000,2021年度,1227,北海道 歌志内市,5595,12
2021100000,2021年度,1228,北海道 深川市,52942,11500
2021100000,2021年度,1229,北海道 富良野市,60071,10500
2021100000,2021年度,1230,北海道 登別市,21221,1030
2021100000,2021年度,1231,北海道 恵庭市,29465,4300
2021100000,2021年度,1233,北海道 伊達市,44421,4960
2021100000,2021年度,1234,北海道 北広島市,11905,1940
2021100000,2021年度,1235,北海道 石狩市,72242,5540
2021100000,2021年度,1236,北海道 北斗市,39744,4250
2021100000,2021年度,1303,北海道 当別町,42286,8520
2021100000,2021年度,1304,北海道 新篠津村,7804,5140
2021100000,2021年度,1331,北海道 松前町,29325,435
2021100000,2021年度,1332,北海道 福島町,18725,106
2021100000,2021年度,1333,北海道 知内町,19676,1530
2021100000,2021年度,1334,北海道 木古内町,22186,981
2021100000,2021年度,1337,北海道 七飯町,21675,2990
2021100000,2021年度,1343,北海道 鹿部町,11063,230
2021100000,2021年度,1345,北海道 森町,36879,2610
2021100000,2021年度,1346,北海道 八雲町,95608,6580
2021100000,2021年度,1347,北海道 長万部町,31076,2430
2021100000,2021年度,1361,北海道 江差町,10948,1080
2021100000,2021年度,1362,北海道 上ノ国町,54772,983
2021100000,2021年度,1363,北海道 厚沢部町,46058,3950
2021100000,2021年度,1364,北海道 乙部町,16259,833
2021100000,2021年度,1367,北海道 奥尻町,14299,596
2021100000,2021年度,1370,北海道 今金町,56825,5610
2021100000,2021年度,1371,北海道 せたな町,63868,5900
2021100000,2021年度,1391,北海道 島牧村,43718,297
2021100000,2021年度,1392,北海道 寿都町,9525,267
2021100000,2021年度,1393,北海道 黒松内町,34565,3400
2021100000,2021年度,1394,北海道 蘭越町,44978,3980
2021100000,2021年度,1395,北海道 ニセコ町,19713,2730
2021100000,2021年度,1396,北海道 真狩村,11425,3010
2021100000,2021年度,1397,北海道 留寿都村,11984,2390
2021100000,2021年度,1398,北海道 喜茂別町,18941,1230
2021100000,2021年度,1399,北海道 京極町,23149,2510
2021100000,2021年度,1400,北海道 倶知安町,26134,4520
2021100000,2021年度,1401,北海道 共和町,30492,5110
2021100000,2021年度,1402,北海道 岩内町,7060,348
2021100000,2021年度,1403,北海道 泊村,8227,0
2021100000,2021年度,1404,北海道 神恵内村,14779,2
2021100000,2021年度,1405,北海道 積丹町,23813,828
2021100000,2021年度,1406,北海道 古平町,18836,80
2021100000,2021年度,1407,北海道 仁木町,16796,1480
2021100000,2021年度,1408,北海道 余市町,14059,1420
2021100000,2021年度,1409,北海道 赤井川村,28009,786
2021100000,2021年度,1423,北海道 南幌町,8136,5580
2021100000,2021年度,1424,北海道 奈井江町,8819,2020
2021100000,2021年度,1425,北海道 上砂川町,3998,1
2021100000,2021年度,1427,北海道 由仁町,13374,5850
2021100000,2021年度,1428,北海道 長沼町,16852,11200
2021100000,2021年度,1429,北海道 栗山町,20393,5930
