調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,1100,北海道 札幌市,***,***,***,526342157,4495.4,27.427,82.51
2020100000,2020年度,1101,北海道 札幌市 中央区,***,***,***,-,9261.8,23.14,88.32
2020100000,2020年度,1102,北海道 札幌市 北区,***,***,***,-,4578.6,26.709,80.36
2020100000,2020年度,1103,北海道 札幌市 東区,***,***,***,-,4659,25.73,80.16
2020100000,2020年度,1104,北海道 札幌市 白石区,***,***,***,-,6156.2,25.095,80.43
2020100000,2020年度,1105,北海道 札幌市 豊平区,***,***,***,-,8586.1,25.325,85.71
2020100000,2020年度,1106,北海道 札幌市 南区,***,***,***,-,1193.5,35.346,84.33
2020100000,2020年度,1107,北海道 札幌市 西区,***,***,***,-,7578.2,27.626,82.66
2020100000,2020年度,1108,北海道 札幌市 厚別区,***,***,***,-,5405.5,32.716,83.34
2020100000,2020年度,1109,北海道 札幌市 手稲区,***,***,***,-,3996.2,31.541,78.06
2020100000,2020年度,1110,北海道 札幌市 清田区,***,***,***,-,3732.7,30.319,80.57
2020100000,2020年度,1202,北海道 函館市,***,***,***,70386099,2035.7,35.549,77.09
2020100000,2020年度,1203,北海道 小樽市,***,***,***,31703283,1389.7,40.814,79.76
2020100000,2020年度,1204,北海道 旭川市,***,***,***,82202539,935.7,34.136,78.58
2020100000,2020年度,1205,北海道 室蘭市,***,***,***,22911749,1898.2,36.816,71.09
2020100000,2020年度,1206,北海道 釧路市,***,***,***,49360230,533.4,34.139,76.66
2020100000,2020年度,1207,北海道 帯広市,***,***,***,41738956,435,29.423,72.72
2020100000,2020年度,1208,北海道 北見市,***,***,***,35470061,271.6,33.634,73.44
2020100000,2020年度,1209,北海道 夕張市,***,***,***,4673651,65.7,52.195,60.94
2020100000,2020年度,1210,北海道 岩見沢市,***,***,***,24204187,249.1,36.416,71.46
