調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,1100,北海道 札幌市,4495.4,27.427,526342157,0.47
2020100000,2020年度,1101,北海道 札幌市 中央区,9261.8,23.14,-,0.29
2020100000,2020年度,1102,北海道 札幌市 北区,4578.6,26.709,-,0.54
2020100000,2020年度,1103,北海道 札幌市 東区,4659,25.73,-,0.48
2020100000,2020年度,1104,北海道 札幌市 白石区,6156.2,25.095,-,0.37
2020100000,2020年度,1105,北海道 札幌市 豊平区,8586.1,25.325,-,0.36
2020100000,2020年度,1106,北海道 札幌市 南区,1193.5,35.346,-,0.83
2020100000,2020年度,1107,北海道 札幌市 西区,7578.2,27.626,-,0.37
2020100000,2020年度,1108,北海道 札幌市 厚別区,5405.5,32.716,-,0.59
2020100000,2020年度,1109,北海道 札幌市 手稲区,3996.2,31.541,-,0.49
2020100000,2020年度,1110,北海道 札幌市 清田区,3732.7,30.319,-,0.74
2020100000,2020年度,1202,北海道 函館市,2035.7,35.549,70386099,2.93
2020100000,2020年度,1203,北海道 小樽市,1389.7,40.814,31703283,1.38
2020100000,2020年度,1204,北海道 旭川市,935.7,34.136,82202539,2.57
2020100000,2020年度,1205,北海道 室蘭市,1898.2,36.816,22911749,0.93
2020100000,2020年度,1206,北海道 釧路市,533.4,34.139,49360230,2.18
2020100000,2020年度,1207,北海道 帯広市,435,29.423,41738956,4.85
2020100000,2020年度,1208,北海道 北見市,271.6,33.634,35470061,6.47
2020100000,2020年度,1209,北海道 夕張市,65.7,52.195,4673651,16.79
2020100000,2020年度,1210,北海道 岩見沢市,249.1,36.416,24204187,7.92
2020100000,2020年度,1211,北海道 網走市,165.6,31.486,11908408,13.13
2020100000,2020年度,1212,北海道 留萌市,386.7,36.915,7622449,3.28
2020100000,2020年度,1213,北海道 苫小牧市,842.9,29.405,40325061,1.92
2020100000,2020年度,1214,北海道 稚内市,105.1,32.849,12807266,8.55
2020100000,2020年度,1215,北海道 美唄市,129.4,42.336,8674503,13.01
2020100000,2020年度,1216,北海道 芦別市,91.6,47.75,6032589,10.31
2020100000,2020年度,1217,北海道 江別市,722.2,30.385,25451905,2.77
2020100000,2020年度,1218,北海道 赤平市,264.3,48.144,4783538,4.5
2020100000,2020年度,1219,北海道 紋別市,121.6,36.281,9907787,9.8
2020100000,2020年度,1220,北海道 士別市,63.8,41.158,9975089,16.81
2020100000,2020年度,1221,北海道 名寄市,137.4,32.061,12841195,9.99
2020100000,2020年度,1222,北海道 三笠市,141.6,47.5,4943277,7.4
2020100000,2020年度,1223,北海道 根室市,118.5,35.103,9242687,19.16
2020100000,2020年度,1224,北海道 千歳市,499.2,23.165,24043568,3.35
2020100000,2020年度,1225,北海道 滝川市,386.9,34.999,11613265,4.53
2020100000,2020年度,1226,北海道 砂川市,337.6,38.845,6917140,5.06
2020100000,2020年度,1227,北海道 歌志内市,213.8,53.262,2247110,1.83
2020100000,2020年度,1228,北海道 深川市,93.4,42.637,9010416,16.51
2020100000,2020年度,1229,北海道 富良野市,107,34.333,8086701,20.3
2020100000,2020年度,1230,北海道 登別市,1239.1,37.264,11720605,1.27
2020100000,2020年度,1231,北海道 恵庭市,722.4,27.972,15202866,3.96
2020100000,2020年度,1233,北海道 伊達市,250.7,38.387,10955935,9.45
2020100000,2020年度,1234,北海道 北広島市,786.1,33.316,13666344,2.12
2020100000,2020年度,1235,北海道 石狩市,264.1,34.117,17154273,4.15
2020100000,2020年度,1236,北海道 北斗市,450.5,30.093,12467198,7.89
2020100000,2020年度,1303,北海道 当別町,99.9,34.889,6130005,14.2
2020100000,2020年度,1304,北海道 新篠津村,40.1,37.516,1988663,41.27
2020100000,2020年度,1331,北海道 松前町,264.9,52.173,3640236,10.1
2020100000,2020年度,1332,北海道 福島町,231.6,48.788,2467280,14.7
2020100000,2020年度,1333,北海道 知内町,133.9,39.573,2711753,26.54
2020100000,2020年度,1334,北海道 木古内町,172.5,49.791,2723710,10.32
2020100000,2020年度,1337,北海道 七飯町,337.2,35.104,7231215,9.47
2020100000,2020年度,1343,北海道 鹿部町,176.3,40.346,1881761,33.17
2020100000,2020年度,1345,北海道 森町,159.3,38.583,6326577,22.04
2020100000,2020年度,1346,北海道 八雲町,88.9,34.968,7939735,19
2020100000,2020年度,1347,北海道 長万部町,62.1,40.869,3087921,19.23
2020100000,2020年度,1361,北海道 江差町,276.6,38.314,3443323,8.32
2020100000,2020年度,1362,北海道 上ノ国町,100.5,43.381,3091539,16.9
2020100000,2020年度,1363,北海道 厚沢部町,40.3,42.873,2902767,32.35
2020100000,2020年度,1364,北海道 乙部町,135,45.607,2380912,10.33
2020100000,2020年度,1367,北海道 奥尻町,122.5,41.369,2365819,10.65
2020100000,2020年度,1370,北海道 今金町,41.7,41.187,3352919,28.05
2020100000,2020年度,1371,北海道 せたな町,53.4,47.067,5691033,25.22
2020100000,2020年度,1391,北海道 島牧村,19.5,41.593,1611782,21.4
2020100000,2020年度,1392,北海道 寿都町,192.8,41.121,2078712,10.39
2020100000,2020年度,1393,北海道 黒松内町,38.3,39.484,2480742,12.55
2020100000,2020年度,1394,北海道 蘭越町,64.1,40.018,3493609,23.76
2020100000,2020年度,1395,北海道 ニセコ町,98.4,25.759,2922091,16.51
2020100000,2020年度,1396,北海道 真狩村,56.7,34.474,1717933,38.92
2020100000,2020年度,1397,北海道 留寿都村,42.1,25.798,1701684,28.53
2020100000,2020年度,1398,北海道 喜茂別町,64.9,37.338,1867214,22.66
2020100000,2020年度,1399,北海道 京極町,78.7,37.878,2598768,18.22
2020100000,2020年度,1400,北海道 倶知安町,219.6,24.661,5169176,8.4
2020100000,2020年度,1401,北海道 共和町,66.6,31.635,3560678,24.5
2020100000,2020年度,1402,北海道 岩内町,858.4,37.466,4239692,3.2
2020100000,2020年度,1403,北海道 泊村,287.4,39.834,2306018,8.61
2020100000,2020年度,1404,北海道 神恵内村,89.4,51.494,914765,13.81
2020100000,2020年度,1405,北海道 積丹町,36.1,46.914,1780348,28.06
2020100000,2020年度,1406,北海道 古平町,102.3,42.04,2133396,14.55
2020100000,2020年度,1407,北海道 仁木町,78.2,40.314,2221519,47.82
2020100000,2020年度,1408,北海道 余市町,410.2,40.333,5768031,17.22
