"都道府県名","地域コード","年","月","地域区分","データ区分","都道府県コード","地域名称","人数","農泊採択地域数","年間訪問者数","調査年.コード.x","調査年.x","地域.x","総面積","耕地面積","耕地面積率","調査年.コード.y","調査年.y","地域.y","人口密度","X65歳以上人口割合","標準財政規模","第1次産業就業者比率","事業所数","事業所数.宿泊業.飲食サービス業.","農家数.販売農家.","調査年.コード","調査年","地域.コード","年平均気温","降水日数","宿泊業飲食サービス業事業所数比率"
"愛知県",23101,2023,1,"市区町村","観光来訪者数",23,"名古屋市千種区",125340,NA,3514161,2021100000,"2021年度","愛知県 名古屋市 千種区",1818,NA,NA,2020100000,"2020年度","愛知県 名古屋市 千種区",9596.1,23.831,NA,0.13,7755,1245,1,2020100000,"2020年度",23000,17,112,16.054158607350097
"愛知県",23102,2023,1,"市区町村","観光来訪者数",23,"名古屋市東区",50992,NA,819514,2021100000,"2021年度","愛知県 名古屋市 東区",771,NA,NA,2020100000,"2020年度","愛知県 名古屋市 東区",10945.8,21.312,NA,0.08,6485,859,1,2020100000,"2020年度",23000,17,112,13.245952197378566
"愛知県",23103,2023,1,"市区町村","観光来訪者数",23,"名古屋市北区",25970,NA,258497,2021100000,"2021年度","愛知県 名古屋市 北区",1753,NA,NA,2020100000,"2020年度","愛知県 名古屋市 北区",9295.8,28.937,NA,0.14,7598,1018,13,2020100000,"2020年度",23000,17,112,13.398262700710713
"愛知県",23104,2023,1,"市区町村","観光来訪者数",23,"名古屋市西区",46345,NA,664912,2021100000,"2021年度","愛知県 名古屋市 西区",1793,NA,NA,2020100000,"2020年度","愛知県 名古屋市 西区",8426.2,23.696,NA,0.17,9164,1082,9,2020100000,"2020年度",23000,17,112,11.80707114797032
"愛知県",23105,2023,1,"市区町村","観光来訪者数",23,"名古屋市中村区",113351,NA,1482102,2021100000,"2021年度","愛知県 名古屋市 中村区",1630,NA,NA,2020100000,"2020年度","愛知県 名古屋市 中村区",8503,25.879,NA,0.17,12135,1800,5,2020100000,"2020年度",23000,17,112,14.833127317676142
"愛知県",23106,2023,1,"市区町村","観光来訪者数",23,"名古屋市中区",502281,NA,7139432,2021100000,"2021年度","愛知県 名古屋市 中区",938,NA,NA,2020100000,"2020年度","愛知県 名古屋市 中区",9925.4,16.584,NA,0.07,21733,4868,0,2020100000,"2020年度",23000,17,112,22.399116550867344
"愛知県",23107,2023,1,"市区町村","観光来訪者数",23,"名古屋市昭和区",34090,NA,664567,2021100000,"2021年度","愛知県 名古屋市 昭和区",1094,NA,NA,2020100000,"2020年度","愛知県 名古屋市 昭和区",9972.1,23.314,NA,0.16,5455,697,1,2020100000,"2020年度",23000,17,112,12.777268560953253
"愛知県",23108,2023,1,"市区町村","観光来訪者数",23,"名古屋市瑞穂区",10966,NA,212629,2021100000,"2021年度","愛知県 名古屋市 瑞穂区",1122,NA,NA,2020100000,"2020年度","愛知県 名古屋市 瑞穂区",9689.8,24.92,NA,0.22,4507,571,2,2020100000,"2020年度",23000,17,112,12.66918127357444
"愛知県",23109,2023,1,"市区町村","観光来訪者数",23,"名古屋市熱田区",296141,NA,2343908,2021100000,"2021年度","愛知県 名古屋市 熱田区",820,NA,NA,2020100000,"2020年度","愛知県 名古屋市 熱田区",8165.5,25.791,NA,0.15,4523,614,0,2020100000,"2020年度",23000,17,112,13.575060800353747
"愛知県",23110,2023,1,"市区町村","観光来訪者数",23,"名古屋市中川区",20294,NA,300614,2021100000,"2021年度","愛知県 名古屋市 中川区",3202,NA,NA,2020100000,"2020年度","愛知県 名古屋市 中川区",6893.4,24.617,NA,0.41,9012,1037,125,2020100000,"2020年度",23000,17,112,11.506879715934309
"愛知県",23111,2023,1,"市区町村","観光来訪者数",23,"名古屋市港区",202453,NA,3430820,2021100000,"2021年度","愛知県 名古屋市 港区",4569,NA,NA,2020100000,"2020年度","愛知県 名古屋市 港区",3145.4,27.159,NA,0.45,6599,791,133,2020100000,"2020年度",23000,17,112,11.98666464615851
"愛知県",23112,2023,1,"市区町村","観光来訪者数",23,"名古屋市南区",23814,NA,700455,2021100000,"2021年度","愛知県 名古屋市 南区",1846,NA,NA,2020100000,"2020年度","愛知県 名古屋市 南区",7286.6,29.77,NA,0.17,6539,862,8,2020100000,"2020年度",23000,17,112,13.182443798745986
"愛知県",23113,2023,1,"市区町村","観光来訪者数",23,"名古屋市守山区",14480,NA,179922,2021100000,"2021年度","愛知県 名古屋市 守山区",3401,NA,NA,2020100000,"2020年度","愛知県 名古屋市 守山区",5874.5,24.211,NA,0.32,5771,606,25,2020100000,"2020年度",23000,17,112,10.500779760873332
"愛知県",23114,2023,1,"市区町村","観光来訪者数",23,"名古屋市緑区",23034,NA,206828,2021100000,"2021年度","愛知県 名古屋市 緑区",3791,NA,NA,2020100000,"2020年度","愛知県 名古屋市 緑区",6890.1,22.795,NA,0.47,7082,814,99,2020100000,"2020年度",23000,17,112,11.493928268850608
"愛知県",23115,2023,1,"市区町村","観光来訪者数",23,"名古屋市名東区",10561,NA,133362,2021100000,"2021年度","愛知県 名古屋市 名東区",1945,NA,NA,2020100000,"2020年度","愛知県 名古屋市 名東区",9137.8,21.565,NA,0.23,6100,817,10,2020100000,"2020年度",23000,17,112,13.393442622950818
"愛知県",23116,2023,1,"市区町村","観光来訪者数",23,"名古屋市天白区",6067,NA,92709,2021100000,"2021年度","愛知県 名古屋市 天白区",2158,NA,NA,2020100000,"2020年度","愛知県 名古屋市 天白区",8366.3,22.307,NA,0.38,5426,700,45,2020100000,"2020年度",23000,17,112,12.900847769996314
"愛知県",23201,2023,1,"市区町村","観光来訪者数",23,"豊橋市",118049,NA,1454393,2021100000,"2021年度","愛知県 豊橋市",26191,7470,28.521247756863044,2020100000,"2020年度","愛知県 豊橋市",1694,25.747,74283455,5.13,16200,2000,2642,2020100000,"2020年度",23000,17,112,12.345679012345679
"愛知県",23202,2023,1,"市区町村","観光来訪者数",23,"岡崎市",177752,NA,2593753,2021100000,"2021年度","愛知県 岡崎市",38720,3150,8.135330578512397,2020100000,"2020年度","愛知県 岡崎市",2475.3,23.314,77737003,1.3,14777,1754,1073,2020100000,"2020年度",23000,17,112,11.86979765852338
"愛知県",23203,2023,1,"市区町村","観光来訪者数",23,"一宮市",35227,NA,364918,2021100000,"2021年度","愛知県 一宮市",11382,2770,24.33667193814795,2020100000,"2020年度","愛知県 一宮市",3339.2,26.98,74858245,0.94,16569,2003,900,2020100000,"2020年度",23000,17,112,12.088840605950873
"愛知県",23204,2023,1,"市区町村","観光来訪者数",23,"瀬戸市",24406,NA,410320,2021100000,"2021年度","愛知県 瀬戸市",11140,257,2.3070017953321367,2020100000,"2020年度","愛知県 瀬戸市",2617.1,29.888,24814795,0.72,5109,511,93,2020100000,"2020年度",23000,17,112,10.001957330201606
"愛知県",23205,2023,1,"市区町村","観光来訪者数",23,"半田市",22235,NA,295913,2021100000,"2021年度","愛知県 半田市",4742,706,14.888232813159005,2020100000,"2020年度","愛知県 半田市",2558.2,24.254,26042591,1.43,4924,654,209,2020100000,"2020年度",23000,17,112,13.281884646628757
"愛知県",23206,2023,1,"市区町村","観光来訪者数",23,"春日井市",25672,NA,281827,2021100000,"2021年度","愛知県 春日井市",9278,604,6.510023712006897,2020100000,"2020年度","愛知県 春日井市",4081.5,25.765,59811100,0.66,10936,1399,288,2020100000,"2020年度",23000,17,112,12.792611558156548
"愛知県",23207,2023,1,"市区町村","観光来訪者数",23,"豊川市",191065,NA,908163,2021100000,"2021年度","愛知県 豊川市",16114,3200,19.858508129576766,2020100000,"2020年度","愛知県 豊川市",1801,26.122,39985793,4.87,7395,805,1635,2020100000,"2020年度",23000,17,112,10.885733603786342
"愛知県",23208,2023,1,"市区町村","観光来訪者数",23,"津島市",20138,NA,179853,2021100000,"2021年度","愛知県 津島市",2509,839,33.43961737744121,2020100000,"2020年度","愛知県 津島市",2428.9,30.027,13351507,1.76,2929,327,219,2020100000,"2020年度",23000,17,112,11.164219870262889
"愛知県",23209,2023,1,"市区町村","観光来訪者数",23,"碧南市",22234,NA,272337,2021100000,"2021年度","愛知県 碧南市",3668,901,24.56379498364231,2020100000,"2020年度","愛知県 碧南市",1975.4,23.803,19093058,3.66,3251,294,405,2020100000,"2020年度",23000,17,112,9.043371270378344
"愛知県",23210,2023,1,"市区町村","観光来訪者数",23,"刈谷市",47783,NA,707416,2021100000,"2021年度","愛知県 刈谷市",5039,1180,23.417344711252234,2020100000,"2020年度","愛知県 刈谷市",3083.5,20.17,37729762,1.06,5525,802,418,2020100000,"2020年度",23000,17,112,14.515837104072398
