都道府県,平均回数,観光地点数,自然,歴史・文化,温泉・健康
北海道,4.214522059,856,110,149,145
青森県,6.843949045,298,42,61,46
岩手県,6.296052632,281,37,62,76
宮城県,6.906752412,301,36,80,36
秋田県,8.291666667,405,30,52,63
山形県,6.742990654,296,39,76,47
福島県,6.151260504,267,46,77,46
茨城県,5.687116564,176,16,50,17
栃木県,5.057829181,326,35,91,28
群馬県,6.906521739,399,55,96,81
埼玉県,6.59043659,460,47,124,30
千葉県,3.979931231,549,33,136,26
東京都,4.291437615,640,9,301,36
神奈川県,3.911481157,334,41,137,10
新潟県,6.006,682,71,165,112
富山県,5.452160494,224,35,90,21
石川県,3.880108992,,,,
福井県,6.327868852,220,26,84,23
山梨県,2.239583333,304,20,86,60
長野県,4.481981982,357,64,75,81
岐阜県,3.568020305,426,38,97,55
静岡県,3.53700361,591,52,185,48
愛知県,4.384696756,363,37,134,20
三重県,6.006410256,319,36,71,29
滋賀県,5.274647887,354,21,111,21
京都府,2.561735206,213,14,76,19
大阪府,3.394283312,,,,
兵庫県,3.962644912,939,79,292,74
奈良県,2.672913878,205,25,94,27
和歌山県,3.56004902,122,20,41,12
鳥取県,7.146067416,131,10,36,19
島根県,6.239130435,185,18,75,24
岡山県,5.714035088,289,17,107,29
広島県,3.307449051,286,23,90,30
山口県,6.462476548,255,34,77,32
徳島県,6.29787234,147,16,50,20
香川県,5.20620438,156,9,59,18
愛媛県,6.598540146,228,44,64,26
高知県,5.838461538,124,15,27,13
福岡県,5.637982752,557,407,36,135
佐賀県,6.076576577,139,14,33,16
長崎県,4.493191489,201,17,60,18
熊本県,5.06025825,306,24,75,44
大分県,4.0518591,304,37,88,48
宮崎県,6.570175439,212,18,56,26
鹿児島県,6.246815287,308,38,66,48
沖縄県,3.62397501,,,,
